2016-12-20 16:39:19.477697

topic-folder:/home/ec2-user/data/topics/
cl-file:/home/ec2-user/git/tfidf/result-new/b2-1.txt
cl-floder:/home/ec2-user/data/lsaclass/
zipf:0.1
stype[0(tfidf)/1(tfidf2)/2(lsa)/3(lda)]:2
dtype[<0(diff*rand)/0(diff)/1(same)/>=2(diff*same)]:-10
output-floder:/home/ec2-user/git/userquery/result-new

三菱マテリアル株式会社

@/home/ec2-user/data/topics/4719 69
@/home/ec2-user/data/topics/3459 69
@/home/ec2-user/data/topics/3889 69
@/home/ec2-user/data/topics/3483 69
@/home/ec2-user/data/topics/3537 70
@/home/ec2-user/data/topics/3553 70
@/home/ec2-user/data/topics/1459 71
@/home/ec2-user/data/topics/3532 72
@/home/ec2-user/data/topics/1151 73
@/home/ec2-user/data/topics/4821 73
@/home/ec2-user/data/topics/3413 73
@/home/ec2-user/data/topics/4711 74
@/home/ec2-user/data/topics/3929 74
ダイキン工業株式会社

@/home/ec2-user/data/topics/4732 75
@/home/ec2-user/data/topics/4858 75
@/home/ec2-user/data/topics/1147 76
@/home/ec2-user/data/topics/4845 76
@/home/ec2-user/data/topics/3888 77
@/home/ec2-user/data/topics/1565 78
@/home/ec2-user/data/topics/4400 79
@/home/ec2-user/data/topics/3814 80
@/home/ec2-user/data/topics/4820 80
@/home/ec2-user/data/topics/4117 80
@/home/ec2-user/data/topics/1439 80
@/home/ec2-user/data/topics/2124 80
@/home/ec2-user/data/topics/4367 80
@/home/ec2-user/data/topics/1776 81
@/home/ec2-user/data/topics/4683 81
@/home/ec2-user/data/topics/4734 81
@/home/ec2-user/data/topics/4515 82
@/home/ec2-user/data/topics/4753 83
@/home/ec2-user/data/topics/4701 84
@/home/ec2-user/data/topics/1600 85
@/home/ec2-user/data/topics/1933 86
@/home/ec2-user/data/topics/2107 86
三菱自動車工業株式会社

@/home/ec2-user/data/topics/3815 86
@/home/ec2-user/data/topics/3940 86
@/home/ec2-user/data/topics/4599 87
@/home/ec2-user/data/topics/1131 87
@/home/ec2-user/data/topics/1816 87
@/home/ec2-user/data/topics/2172 88
@/home/ec2-user/data/topics/4189 88
@/home/ec2-user/data/topics/3502 89
@/home/ec2-user/data/topics/1629 90
@/home/ec2-user/data/topics/2101 90
@/home/ec2-user/data/topics/3734 91
@/home/ec2-user/data/topics/1527 91
@/home/ec2-user/data/topics/1299 92
@/home/ec2-user/data/topics/3371 92
@/home/ec2-user/data/topics/1428 92
@/home/ec2-user/data/topics/1112 93
日産自動車株式会社

@/home/ec2-user/data/topics/3823 93
@/home/ec2-user/data/topics/3677 93
@/home/ec2-user/data/topics/4027 94
@/home/ec2-user/data/topics/4750 94
@/home/ec2-user/data/topics/4074 94
@/home/ec2-user/data/topics/1822 95
@/home/ec2-user/data/topics/3497 95
@/home/ec2-user/data/topics/4372 96
@/home/ec2-user/data/topics/3723 96
@/home/ec2-user/data/topics/3645 97
@/home/ec2-user/data/topics/3712 98
@/home/ec2-user/data/topics/2018 99
@/home/ec2-user/data/topics/4982 99
@/home/ec2-user/data/topics/4314 100
@/home/ec2-user/data/topics/3893 100
@/home/ec2-user/data/topics/3410 100
@/home/ec2-user/data/topics/4455 100
@/home/ec2-user/data/topics/3501 100
@/home/ec2-user/data/topics/3829 101
@/home/ec2-user/data/topics/3936 102
@/home/ec2-user/data/topics/3489 103
@/home/ec2-user/data/topics/3893 104
トヨタ自動車株式会社

@/home/ec2-user/data/topics/1440 104
@/home/ec2-user/data/topics/4673 104
@/home/ec2-user/data/topics/4658 104
@/home/ec2-user/data/topics/3783 105
@/home/ec2-user/data/topics/4920 106
@/home/ec2-user/data/topics/1228 107
@/home/ec2-user/data/topics/2139 107
@/home/ec2-user/data/topics/3916 107
@/home/ec2-user/data/topics/1610 107
@/home/ec2-user/data/topics/4426 107
@/home/ec2-user/data/topics/1069 108
@/home/ec2-user/data/topics/3707 108
@/home/ec2-user/data/topics/1359 108
@/home/ec2-user/data/topics/3587 108
@/home/ec2-user/data/topics/4777 109
@/home/ec2-user/data/topics/4684 109
@/home/ec2-user/data/topics/3758 109
@/home/ec2-user/data/topics/4008 110
@/home/ec2-user/data/topics/2218 111
@/home/ec2-user/data/topics/3405 112
@/home/ec2-user/data/topics/3481 113
@/home/ec2-user/data/topics/4955 114
@/home/ec2-user/data/topics/4767 114
@/home/ec2-user/data/topics/3725 115
@/home/ec2-user/data/topics/2111 116
@/home/ec2-user/data/topics/4144 117
@/home/ec2-user/data/topics/3408 118
@/home/ec2-user/data/topics/1551 118
@/home/ec2-user/data/topics/3455 119
@/home/ec2-user/data/topics/1612 119
@/home/ec2-user/data/topics/4543 119
@/home/ec2-user/data/topics/4852 120
@/home/ec2-user/data/topics/3699 120
@/home/ec2-user/data/topics/3943 121
@/home/ec2-user/data/topics/4982 122
@/home/ec2-user/data/topics/4981 122
@/home/ec2-user/data/topics/3819 122
@/home/ec2-user/data/topics/3805 122
@/home/ec2-user/data/topics/4064 122
@/home/ec2-user/data/topics/3731 123
@/home/ec2-user/data/topics/4030 124
@/home/ec2-user/data/topics/3990 125
@/home/ec2-user/data/topics/1888 125
@/home/ec2-user/data/topics/4617 125
@/home/ec2-user/data/topics/3936 126
@/home/ec2-user/data/topics/4633 126
@/home/ec2-user/data/topics/4647 127
@/home/ec2-user/data/topics/4555 128
@/home/ec2-user/data/topics/4346 128
@/home/ec2-user/data/topics/4298 129
@/home/ec2-user/data/topics/4894 130
@/home/ec2-user/data/topics/5006 130
@/home/ec2-user/data/topics/3356 130
@/home/ec2-user/data/topics/3671 131
@/home/ec2-user/data/topics/1494 132
@/home/ec2-user/data/topics/3614 133
@/home/ec2-user/data/topics/1233 133
@/home/ec2-user/data/topics/1438 133
オリンパス光学工業株式会社

@/home/ec2-user/data/topics/1155 133
@/home/ec2-user/data/topics/1981 133
@/home/ec2-user/data/topics/4878 134
@/home/ec2-user/data/topics/3669 135
@/home/ec2-user/data/topics/4013 135
@/home/ec2-user/data/topics/2026 136
@/home/ec2-user/data/topics/1586 137
@/home/ec2-user/data/topics/1107 138
@/home/ec2-user/data/topics/1076 139
@/home/ec2-user/data/topics/4673 139
@/home/ec2-user/data/topics/1835 139
@/home/ec2-user/data/topics/3866 140
@/home/ec2-user/data/topics/1101 140
@/home/ec2-user/data/topics/4799 140
